stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,stop_code,stop_desc,stop_url,stop_timezone,wheelchair_boarding,platform_code
S0904000947,御幸ヶ原元町,36.5860928338625,139.919548683566,0,1,,,,,,,
S090400094700000,御幸ヶ原元町,36.5860928338625,139.919548683566,Z010550,0,S0904000947,,,,,,
S0904000948,スーパーオータニ前,36.5895039691812,139.921944160885,0,1,,,,,,,
S090400094800000,スーパーオータニ前,36.5895039691812,139.921944160885,Z010560,0,S0904000948,,,,,,
S0904000949,御幸ヶ原保育園入口,36.5916478655925,139.923575871098,0,1,,,,,,,
S090400094900000,御幸ヶ原保育園入口,36.5916478655925,139.923575871098,Z010570,0,S0904000949,,,,,,
S0904000950,御幸ヶ原北,36.5943646319504,139.926040819067,0,1,,,,,,,
S090400095000000,御幸ヶ原北,36.5943646319504,139.926040819067,Z010580,0,S0904000950,,,,,,
S0904000951,岡本西,36.5954757073034,139.930797317326,0,1,,,,,,,
S090400095100000,岡本西,36.5954757073034,139.930797317326,Z010590,0,S0904000951,,,,,,
S0904000952,宇都宮病院前,36.5954497860613,139.937532870249,0,1,,,,,,,
S090400095200000,宇都宮病院前,36.5954497860613,139.937532870249,Z010600,0,S0904000952,,,,,,
S0904000953,仲町［鹿沼市］,36.564251870873,139.746577943223,0,1,,,,,,,
S090400095300000,仲町［鹿沼市］,36.564251870873,139.746577943223,Z000860,0,S0904000953,,,,,,
S0904000954,寺町［鹿沼市］,36.561413632182,139.746543354565,0,1,,,,,,,
S090400095400000,寺町［鹿沼市］,36.561413632182,139.746543354565,Z000870,0,S0904000954,,,,,,
S0904000955,氏家駅前,36.6817951513244,139.962387941246,0,1,,,,,,,
S090400095500000,氏家駅前,36.6817951513244,139.962387941246,Z011030,0,S0904000955,,,,,,
S0904000956,氏家上町,36.6826024239604,139.966241750685,0,1,,,,,,,
S090400095600000,氏家上町,36.6826024239604,139.966241750685,Z011040,0,S0904000956,,,,,,
S0904000957,桜野西町,36.6841995353922,139.969678891692,0,1,,,,,,,
S090400095700000,桜野西町,36.6841995353922,139.969678891692,Z011050,0,S0904000957,,,,,,
S0904000958,桜野東町,36.6851283161382,139.973150782809,0,1,,,,,,,
S090400095800000,桜野東町,36.6851283161382,139.973150782809,Z011070,0,S0904000958,,,,,,
S0904000959,氏家農協前,36.6877496696617,139.979226546407,0,1,,,,,,,
S090400095900000,氏家農協前,36.6877496696617,139.979226546407,Z011080,0,S0904000959,,,,,,
S0904000960,旭町［さくら市］,36.6903276244429,139.985267592664,0,1,,,,,,,
S090400096000000,旭町［さくら市］,36.6903276244429,139.985267592664,Z011090,0,S0904000960,,,,,,
S0904000961,並木,36.693157266582,139.990058731134,0,1,,,,,,,
S090400096100000,並木,36.693157266582,139.990058731134,Z011100,0,S0904000961,,,,,,
S0904000962,松山,36.6976100493322,139.997731499993,0,1,,,,,,,
S090400096200000,松山,36.6976100493322,139.997731499993,Z011110,0,S0904000962,,,,,,
S0904000963,谷中入口,36.6992071547001,140.000821447612,0,1,,,,,,,
S090400096300000,谷中入口,36.6992071547001,140.000821447612,Z011120,0,S0904000963,,,,,,
S0904000964,松山東,36.6996325649751,140.007036189673,0,1,,,,,,,
S090400096400000,松山東,36.6996325649751,140.007036189673,Z011130,0,S0904000964,,,,,,
S0904000965,根本入口,36.6984869548492,140.012799652663,0,1,,,,,,,
S090400096500000,根本入口,36.6984869548492,140.012799652663,Z011140,0,S0904000965,,,,,,
S0904000966,御嶽神社前,36.7090502448511,140.023319125958,0,1,,,,,,,
S090400096600000,御嶽神社前,36.7090502448511,140.023319125958,Z011150,0,S0904000966,,,,,,
S0904000967,連城橋,36.7140063647211,140.026339480241,0,1,,,,,,,
S090400096700000,連城橋,36.7140063647211,140.026339480241,Z011160,0,S0904000967,,,,,,
S0904000968,喜連川本町,36.7173567014151,140.02637404532,0,1,,,,,,,
S090400096800000,喜連川本町,36.7173567014151,140.02637404532,Z011170,0,S0904000968,,,,,,
S0904000969,喜連川役場前,36.7191446912717,140.025610137542,0,1,,,,,,,
S090400096900000,喜連川役場前,36.7191446912717,140.025610137542,Z011180,0,S0904000969,,,,,,
S0904000970,仲町［さくら市］,36.7202643492296,140.024811541197,0,1,,,,,,,
S090400097000000,仲町［さくら市］,36.7202643492296,140.024811541197,Z011190,0,S0904000970,,,,,,
S0904000971,寿町,36.7224863580407,140.026200212442,0,1,,,,,,,
S090400097100000,寿町,36.7224863580407,140.026200212442,Z011200,0,S0904000971,,,,,,
